id,question_text,question_pron,answer_text,answer_pron
3,卑王鉄槌。極光は反転する。光を呑め！,ひおうてっつい。きょっこうははんてんする。ひかりをのめ！,約束された勝利の剣,エクスカリバー・モルガン
4,選定の剣よ、力を！ 邪悪を断て！ ,せんていのけんよ、ちからを！じゃあくをたて！,勝利すべき黄金の剣,カリバーン
5,我が才を見よ！ 万雷の喝采を聞け！ しかして讃えよ！ 黄金の劇場を！ ,,童女謳う華の帝政,ラウス・セント・クラウディウス
6,邪悪なる竜は失墜し、世界は今落陽に至る。撃ち落とす――,,幻想大剣・天魔失墜,バルムンク
7,私は来た！ 私は見た！ ならば次は勝つだけのこと！,,黄の死,クロケア・モース
8,命は壊さない。その文明を粉砕する。,,軍神の剣,フォトン・レイ
9,今こそ進軍の時！,,神聖たる旗に集いて吼えよ,セイント・ウォーオーダー
10,王家の百合よ、永遠なれ。,,百合の花咲く豪華絢爛,フルール・ド・リス
11,"I am the bone of my sword. ───So as I pray, unlimited blade works.",,無限の剣製,アンリミテッドブレイドワークス
12,裁きの時だ。世界を裂くは我が乖離剣！ 受けよ！,,天地乖離す開闢の星,エヌマ・エリシュ
13,弔いの木よ、牙を研げ。,,祈りの弓,イー・バウ
14,二大神に奉る。,,訴状の矢文,ポイボス・カタストロフェ
15,えぇ……目に物を言わせてあげる！,,女神の視線,アイ・オブ・ザ・エウリュアレ
16,陽のいと聖なる主よ。あらゆる叡智、尊厳、力をあたえたもう輝きの主よ。我が心を、我が考えを、我が成しうることをご照覧あれ。さあ、月と星を創りしものよ。我が行い、我が最期、我が成しうる聖なる献身を見よ。この渾身の一射を放ちし後に───我が強靭の五体、即座に砕け散るであろう！,ひのいとせいなるしゅよ。あらゆるえいち、そんげん、ちからをあたえたもうかがやきのしゅよ。わがこころを、わがかんがえを、わがなしうることをごしょうらんあれ。さあ、つきとほしをつくりしものよ。わがおこない、わがさいご、わがなしうるすぷんたあーるまてぃをみよ。このこんしんのいっしゃをはなちしのちに、わがきょうじんのごたい、そくざにくだけちるであろう。,流星一条,ステラ
17,サーヴァント界最大のヒットナンバーを、聞かせてあげる！フィナーレよ！,,鮮血魔嬢,バートリ・エルジェーベト
18,飛ばしていくわ！ミューミュー無様に鳴きなさい！,,鮮血魔嬢,バートリ・エルジェーベト
19,むぅううん！,,五百羅漢補陀落渡海,ごひゃくらかんふだらくとかい
20,穿て、抉れ、ブチ抜け！,,穿ちの朱槍,ゲイ・ボルク
21,これが……スパルタだぁぁああ！！,,炎門の守護者,テルモピュライ・エノモタイア
22,すべて、すべて、我が槍にこそ通ず。,,すべては我が槍に通ずる,マグナ・ウォルイッセ・マグヌム
23,優しく蹴散らしてあげましょう。,,騎英の手綱,ベルレフォーン
24,これこそがアスカロンの真実！ 汝は竜、罪ありき！,,力屠る祝福の剣,アスカロン
25,行くでござる行くでござる！,,アン女王の復讐,クイーンアンズ・リベンジ
26,守ってみせるっ！,,約束されざる守護の車輪,チャリオット・オブ・ブディカ
27,鬼一が兵法、受けてみるか,きいちがひょうほう、うけてみるか,壇ノ浦・八艘跳,だんのうら・はっそうとび
28,その首、目障りですね。落ちろ！,,壇ノ浦・八艘跳,だんのうら・はっそうとび
29,いずれ彼方に至るため,,始まりの蹂躙制覇,ブケファラス
30,咲き誇るのよ、踊り続けるの！ いきますわよ、,,百合の王冠に栄光あれ,ギロチン・ブレイカー
31,愛を知らない哀しき竜───ここに。星のように！,,愛知らぬ哀しき竜よ,タラスク
